"","SigID","log","rFq_morph","Community","GoalID","Mau_duration","MorphID","rFq_action","Gesture_actionID","Pau_duration"
"41","ID_4",1.32095551981155,0.0322033898305085,"Waibira","Goal_1",1.576,"Morph_3",0.141525423728814,"G_action_2",3.747
"42","ID_4",0.939225703156651,0.0372881355932203,"Waibira","Goal_1",1.409,"Morph_23",0.141525423728814,"G_action_2",2.558
"43","ID_4",0.586674936049429,0.00338983050847458,"Waibira","Goal_4",1.439,"Morph_22",0.0101694915254237,"G_action_14",1.798
"44","ID_4",1.51907547235371,0.00508474576271186,"Waibira","Goal_4",0.84,"Morph_18",0.0101694915254237,"G_action_6",4.568
"45","ID_4",1.31774781858478,0.0338983050847458,"Waibira","Goal_1",3.735,"Morph_24",0.141525423728814,"G_action_2",3.735
"46","ID_4",1.17062282464438,0.0372881355932203,"Waibira","Goal_1",3.224,"Morph_23",0.141525423728814,"G_action_2",3.224
"47","ID_4",1.5802150537572,0.0474576271186441,"Waibira","Goal_1",3.438,NA,0.141525423728814,"G_action_2",4.856
"48","ID_4",1.34521191601866,0.0338983050847458,"Waibira","Goal_1",3.839,"Morph_24",0.141525423728814,"G_action_2",3.839
"49","ID_4",0.693147180559945,0.0474576271186441,"Waibira","Goal_1",1.68,NA,0.213559322033898,"G_action_1",2
"50","ID_4",1.21372509576861,0.0338983050847458,"Waibira","Goal_1",3.366,"Morph_24",0.141525423728814,"G_action_2",3.366
"51","ID_4",0.342880232916543,0.0322033898305085,"Waibira","Goal_1",0.753,"Morph_3",0.141525423728814,"G_action_2",1.409
"52","ID_4",0.665775983763813,0.0338983050847458,"Waibira","Goal_1",1.802,"Morph_24",0.141525423728814,"G_action_2",1.946
"53","ID_4",2.29666761923001,0.0372881355932203,"Waibira","Goal_12",2.776,"Morph_23",0.141525423728814,"G_action_2",9.941
"54","ID_4",-0.923818998294947,0.0194915254237288,"Waibira","Goal_6",0.397,"Morph_14",0.0203389830508475,"G_action_9",0.397
"55","ID_4",1.22964055107451,0.00593220338983051,"Waibira","Goal_10",0.905,"Morph_25",0.101694915254237,"G_action_4",3.42
"56","ID_4",0.939616557177652,0.0449152542372881,"Waibira","Goal_1",1.159,"Morph_21",0.213559322033898,"G_action_1",2.559
"57","ID_4",-0.636766847123838,0.0474576271186441,"Waibira","Goal_6",0.529,NA,0.0101694915254237,"G_action_15",0.529
"58","ID_4",0.5031965966015,0.085593220338983,"Waibira","Goal_13",0.564,"Morph_6",0.101694915254237,"G_action_4",1.654
"59","ID_4",-0.18152187662339,0.026271186440678,"Waibira","Goal_13",0.834,"Morph_11",0.0330508474576271,"G_action_7",0.834
"60","ID_4",1.70146999788059,0.011864406779661,"Waibira","Goal_6",1.668,"Morph_26",0.035593220338983,"G_action_3",5.482
"61","ID_4",1.03992329231943,0.085593220338983,"Waibira","Goal_4",1.577,"Morph_6",0.101694915254237,"G_action_4",2.829
"62","ID_4",-0.579818495252942,0.00508474576271186,"Waibira","Goal_10",0.56,"Morph_27",0.05,"G_action_16",0.56
"63","ID_4",0.272314595320659,0.014406779661017,"Waibira","Goal_10",0.556,"Morph_28",0.00423728813559322,"G_action_17",1.313
"64","ID_4",-0.390084006069862,0.00847457627118644,"Waibira","Goal_10",0.677,"Morph_29",0.00847457627118644,"G_action_18",0.677
"65","ID_5",1.96683259729718,0.0161016949152542,"Waibira","Goal_13",3.218,"Morph_30",0.0194915254237288,"G_action_19",7.148
"66","ID_5",1.18875763851946,0.014406779661017,"Waibira","Goal_13",1.52,"Morph_28",0.0110169491525424,"G_action_20",3.283
"67","ID_5",-0.0460439385014068,0.000847457627118644,"Waibira","Goal_14",0.715,"Morph_31",0.0347457627118644,"G_action_10",0.955
"68","ID_5",-0.767870726755882,0.0161016949152542,"Waibira","Goal_10",0.464,"Morph_17",0.0169491525423729,"G_action_12",0.464
"69","ID_5",-1.0700248318162,0.0161016949152542,"Waibira","Goal_10",0.343,"Morph_17",0.0169491525423729,"G_action_12",0.343
"70","ID_5",-0.145025772050258,0.0161016949152542,"Waibira","Goal_10",0.865,"Morph_17",0.0169491525423729,"G_action_12",0.865
"71","ID_5",0.919485622770674,0.0338983050847458,"Waibira","Goal_10",1.6,"Morph_24",0.141525423728814,"G_action_2",2.508
"72","ID_5",-0.653926467406664,0.085593220338983,"Waibira","Goal_3",0.52,"Morph_6",0.101694915254237,"G_action_4",0.52
"73","ID_5",0.409457129377702,0.00338983050847458,"Waibira","Goal_13",0.302,"Morph_32",0.00338983050847458,"G_action_21",1.506
"74","ID_6",1.30182520449344,0.0322033898305085,"Waibira","Goal_1",0.361,"Morph_3",0.141525423728814,"G_action_2",3.676
"75","ID_6",0.672944473242426,0.0203389830508475,"Waibira","Goal_1",1.4,"Morph_4",0.213559322033898,"G_action_1",1.96
"76","ID_6",0.755652385911342,0.0338983050847458,"Waibira","Goal_12",2.129,"Morph_24",0.141525423728814,"G_action_2",2.129
"77","ID_6",-0.478035800943,0.00932203389830509,"Waibira","Goal_4",0.337,"Morph_33",0.0559322033898305,"G_action_5",0.62
"78","ID_6",1.23547147138531,0.0338983050847458,"Waibira","Goal_12",3.44,"Morph_24",0.141525423728814,"G_action_2",3.44
"79","ID_6",0.824175442966349,0.0406779661016949,"Waibira","Goal_1",1.68,"Morph_2",0.213559322033898,"G_action_1",2.28
"80","ID_6",-0.22314355131421,0.0161016949152542,"Waibira","Goal_15",0.8,"Morph_17",0.0169491525423729,"G_action_12",0.8
"81","ID_6",0.758466646680588,0.088135593220339,"Waibira","Goal_12",2.135,"Morph_1",0.213559322033898,"G_action_1",2.135
"82","ID_6",1.2047724844965,0.0372881355932203,"Waibira","Goal_12",1.001,"Morph_23",0.141525423728814,"G_action_2",3.336
"83","ID_7",0.900161349944271,0.0203389830508475,"Waibira","Goal_1",1.747,"Morph_4",0.213559322033898,"G_action_1",2.46
