"","Mau_duration","Community","log","rFq_morph","rFq_action","SigID","Gesture_actionID","MorphID","GoalID"
"44",1.409,"Waibira",0.342880232916543,0.040453074433657,0.147249190938511,"ID_4","G_action_2","Morph_25","Goal_1"
"45",1.439,"Waibira",0.363948427905231,0.00323624595469256,0.00809061488673139,"ID_4","G_action_14","Morph_24","Goal_4"
"46",3.735,"Waibira",1.31774781858478,0.0339805825242718,0.147249190938511,"ID_4","G_action_2","Morph_26","Goal_1"
"47",3.224,"Waibira",1.17062282464438,0.040453074433657,0.147249190938511,"ID_4","G_action_2","Morph_25","Goal_1"
"48",3.438,"Waibira",1.23488990696066,0.0453074433656958,0.147249190938511,"ID_4","G_action_2",NA,"Goal_1"
"49",3.839,"Waibira",1.34521191601866,0.0339805825242718,0.147249190938511,"ID_4","G_action_2","Morph_26","Goal_1"
"50",1.68,"Waibira",0.518793793415168,0.0453074433656958,0.210355987055016,"ID_4","G_action_1",NA,"Goal_1"
"51",3.366,"Waibira",1.21372509576861,0.0339805825242718,0.147249190938511,"ID_4","G_action_2","Morph_26","Goal_1"
"52",0.753,"Waibira",-0.283690051182243,0.0323624595469256,0.147249190938511,"ID_4","G_action_2","Morph_3","Goal_1"
"53",1.802,"Waibira",0.588897159186146,0.0339805825242718,0.147249190938511,"ID_4","G_action_2","Morph_26","Goal_1"
"54",1.32,"Waibira",0.27763173659828,0.040453074433657,0.147249190938511,"ID_4","G_action_2","Morph_25","Goal_1"
"55",2.776,"Waibira",1.02101104264456,0.040453074433657,0.147249190938511,"ID_4","G_action_2","Morph_25","Goal_12"
"56",0.397,"Waibira",-0.923818998294947,0.0186084142394822,0.0194174757281553,"ID_4","G_action_10","Morph_15","Goal_7"
"57",0.905,"Waibira",-0.0998203352822109,0.00566343042071197,0.101132686084142,"ID_4","G_action_4","Morph_27","Goal_10"
"58",1.159,"Waibira",0.147557564357615,0.0444983818770227,0.210355987055016,"ID_4","G_action_1","Morph_23","Goal_1"
"59",0.529,"Waibira",-0.636766847123838,0.0453074433656958,0.00970873786407767,"ID_4","G_action_15",NA,"Goal_7"
"60",0.741,"Waibira",-0.29975465368605,0.0857605177993527,0.101132686084142,"ID_4","G_action_4","Morph_6","Goal_7"
"61",0.564,"Waibira",-0.572701027484078,0.0857605177993527,0.101132686084142,"ID_4","G_action_4","Morph_6","Goal_13"
"62",0.834,"Waibira",-0.18152187662339,0.0250809061488673,0.0307443365695793,"ID_4","G_action_7","Morph_11","Goal_13"
"63",1.668,"Waibira",0.511625303936555,0.0113268608414239,0.0396440129449838,"ID_4","G_action_3","Morph_28","Goal_7"
"64",1.577,"Waibira",0.455524307980901,0.0857605177993527,0.101132686084142,"ID_4","G_action_4","Morph_6","Goal_4"
"65",0.56,"Waibira",-0.579818495252942,0.00485436893203883,0.0477346278317152,"ID_4","G_action_16","Morph_29","Goal_10"
"66",0.556,"Waibira",-0.586986984731555,0.0161812297734628,0.0040453074433657,"ID_4","G_action_17","Morph_30","Goal_10"
