,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,P,Duration,Category,logduration
59,11.129,1083,Duane,Lola,57,2,Object shake,0.473214286,2.12,Manual,0.751416089
60,11.129,1082,Duane,Lola,57,2,Stomp object/ground,0.042857143,0.24,Manual,-1.427116356
61,11.133,1085,Duane,Lola,59,1,Object shake,0.473214286,2.24,Manual,0.806475866
62,11.133,1087,Duane,Lola,60,2,Hit object/ground,0.082142857,0.4,Manual,-0.916290732
63,11.133,1086,Duane,Lola,60,2,Object shake,0.473214286,3.28,Manual,1.187843422
64,11.133,1088,Duane,Lola,61,4,Jump,0.023214286,0.72,Body,-0.328504067
65,11.133,1091,Duane,Lola,61,4,Object move,0.082142857,0.32,Manual,-1.139434283
66,11.133,1089,Duane,Lola,61,4,Object shake,0.473214286,1,Manual,0
67,11.133,1090,Duane,Lola,61,4,Stomp 2-feet object/ground,0.005357143,0.4,Manual,-0.916290732
68,11.134,1094,Duane,Lola,62,3,Object shake,0.473214286,2.08,Manual,0.732367894
69,11.134,1092,Duane,Lola,62,3,Swing,0.039285714,1.28,Manual,0.246860078
70,11.134,1093,Duane,Lola,62,3,Swing,0.039285714,1.72,Manual,0.542324291
71,11.135,1095,Duane,Lola,63,2,Object shake,0.473214286,0.72,Manual,-0.328504067
72,11.135,1096,Duane,Lola,63,2,Stomp object/ground,0.042857143,0.6,Manual,-0.510825624
73,11.135,1099,Duane,Lola,64,6,Hit object/ground,0.082142857,1.32,Manual,0.277631737
74,11.135,1102,Duane,Lola,64,6,Jump,0.023214286,0.44,Body,-0.820980552
75,11.135,1097,Duane,Lola,64,6,Object move,0.082142857,0.36,Manual,-1.021651248
76,11.135,1098,Duane,Lola,64,6,Object shake,0.473214286,1.28,Manual,0.246860078
77,11.135,1100,Duane,Lola,64,6,Object shake,0.473214286,1.28,Manual,0.246860078
78,11.135,1101,Duane,Lola,64,6,Object shake,0.473214286,2,Manual,0.693147181
79,11.137,1106,Duane,Lola,65,2,Hit object/ground,0.082142857,0.32,Manual,-1.139434283
80,11.137,1105,Duane,Lola,65,2,Swing,0.039285714,0.72,Manual,-0.328504067
81,11.137,1107,Duane,Lola,66,1,Object move,0.082142857,1.68,Manual,0.518793793
82,11.137,1108,Duane,Lola,67,1,Object move,0.082142857,2.4,Manual,0.875468737
83,11.143,1111,Duane,Lola,69,5,Hit object/ground,0.082142857,0.2,Manual,-1.609437912
84,11.143,1113,Duane,Lola,69,5,Hit object/ground,0.082142857,0.24,Manual,-1.427116356
85,11.143,1112,Duane,Lola,69,5,Jump,0.023214286,0.68,Body,-0.385662481
86,11.143,1112,Duane,Lola,69,5,Jump,0.023214286,0.48,Body,-0.733969175
87,11.143,1110,Duane,Lola,69,5,Object shake,0.473214286,3.8,Manual,1.335001067
88,11.146,1117,Duane,Lola,70,2,Object shake,0.473214286,2.16,Manual,0.770108222
89,11.146,1118,Duane,Lola,71,1,Object shake,0.473214286,2.36,Manual,0.858661619
90,11.146,1119,Duane,Lola,72,1,Object shake,0.473214286,2.72,Manual,1.00063188
91,11.165,1122,Duane,Lola,73,2,Object shake,0.473214286,0.92,Manual,-0.083381609
92,11.165,1122,Duane,Lola,73,2,Stomp object/ground,0.042857143,0.68,Manual,-0.385662481
93,11.169,1127,Duane,Lola,74,5,Hit object/ground,0.082142857,0.28,Manual,-1.272965676
94,11.169,1128,Duane,Lola,74,5,Hit object/ground,0.082142857,0.48,Manual,-0.733969175
95,11.169,1126,Duane,Lola,74,5,Jump,0.023214286,0.6,Body,-0.510825624
96,11.169,1126,Duane,Lola,74,5,Jump,0.023214286,0.68,Body,-0.385662481
97,11.191,1131,Duane,Lola,75,5,Jump,0.023214286,0.48,Body,-0.733969175
98,11.191,1133,Duane,Lola,75,5,Jump,0.023214286,0.68,Body,-0.385662481
99,11.191,1132,Duane,Lola,75,5,Stomp object/ground,0.042857143,0.48,Manual,-0.733969175
100,11.191,1130,Duane,Lola,75,5,Swing,0.039285714,1.04,Manual,0.039220713
101,15.102,606,Duane,Zimba,77,1,Object shake,0.473214286,4.2,Manual,1.435084525
102,15.102,609,Duane,Zimba,79,2,Object shake,0.473214286,1.12,Manual,0.113328685
103,15.102,610,Duane,Zimba,79,2,Object shake,0.473214286,3.12,Manual,1.137833002
104,15.102,611,Duane,Zimba,80,1,Object shake,0.473214286,1.6,Manual,0.470003629
105,15.103,613,Duane,Zimba,81,2,Object shake,0.473214286,2.48,Manual,0.90825856
106,15.103,614,Duane,Zimba,81,2,Object shake,0.473214286,1.52,Manual,0.418710335
107,15.103,615,Duane,Zimba,82,2,Object shake,0.473214286,7.36,Manual,1.996059933
108,15.103,616,Duane,Zimba,82,2,Object shake,0.473214286,7.36,Manual,1.996059933
109,15.104,617,Duane,Zimba,83,1,Object shake,0.473214286,7.96,Manual,2.074429
110,15.104,618,Duane,Zimba,84,2,Object shake,0.473214286,1.56,Manual,0.444685821
111,15.104,619,Duane,Zimba,84,2,Object shake,0.473214286,9.44,Manual,2.24495598
112,15.104,620,Duane,Zimba,85,2,Object shake,0.473214286,1.28,Manual,0.246860078
113,15.104,621,Duane,Zimba,85,2,Object shake,0.473214286,11.08,Manual,2.405141681
114,15.104,622,Duane,Zimba,86,1,Object shake,0.473214286,5.96,Manual,1.785070481
115,15.104,623,Duane,Zimba,87,1,Object shake,0.473214286,11.48,Manual,2.440606391
116,15.105,624,Duane,Zimba,88,1,Object shake,0.473214286,5.8,Manual,1.757857918
117,15.105,625,Duane,Zimba,89,1,Object shake,0.473214286,9.08,Manual,2.206074193
118,15.107,626,Duane,Zimba,90,1,Object shake,0.473214286,10.36,Manual,2.337952237
119,15.116,633,Duane,Zimba,93,1,Object shake,0.473214286,5.16,Manual,1.640936579
120,15.118,634,Duane,Zimba,94,1,Object shake,0.473214286,1.56,Manual,0.444685821
121,15.118,635,Duane,Zimba,95,1,Object shake,0.473214286,6.64,Manual,1.893111963
122,15.118,636,Duane,Zimba,96,1,Object shake,0.473214286,2.72,Manual,1.00063188
