ClipName,Record#,Signaller,SigAge,AgeClass,SigRankElo,Recipient,RecAge,RecAgeClass,Parous,Conception,SexRatio,SequenceID,SequenceSize,SequenceYN,Gesture,p,Context,Duration,Category,TypeN
11.115,1057,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Jump,0.023214286,Consortship,0.72,Body,2
11.115,1056,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Object shake,0.473214286,Consortship,3.36,Manual,1
11.115,1059,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Stomp 2-feet object/ground,0.005357143,Consortship,0.44,Manual,1
11.122,1067,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,50,2,Y,Object shake,0.473214286,Consortship,2.12,Manual,1
11.126,1071,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,52,1,N,Object shake,0.473214286,Consortship,0.8,Manual,1
11.126,1073,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,53,2,Y,Object shake,0.473214286,Consortship,2.04,Manual,1
11.126,1072,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,53,2,Y,Swing,0.039285714,Consortship,0.6,Manual,1
11.126,1074,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,54,3,Y,Object shake,0.473214286,Consortship,4.88,Manual,1
11.126,1075,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,54,3,Y,Object shake,0.473214286,Consortship,0.76,Manual,1
11.126,1076,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,54,3,Y,Throw object,0.008928571,Consortship,0.32,Manual,1
11.127,1077,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,55,1,N,Object shake,0.473214286,Consortship,5.68,Manual,1
11.129,1081,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Hit object/ground,0.082142857,Consortship,0.72,Manual,1
11.129,1078,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Object shake,0.473214286,Consortship,1.76,Manual,1
11.129,1078,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Object shake,0.473214286,Consortship,0.76,Manual,1
11.129,1079,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Stomp object/ground,0.042857143,Consortship,0.48,Manual,1
11.129,1080,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Swing,0.039285714,Consortship,0.32,Manual,1
11.129,1083,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,57,2,Y,Object shake,0.473214286,Consortship,2.12,Manual,1
11.129,1082,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,57,2,Y,Stomp object/ground,0.042857143,Consortship,0.24,Manual,1
11.133,1085,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,59,1,N,Object shake,0.473214286,Consortship,2.24,Manual,1
11.133,1087,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,60,2,Y,Hit object/ground,0.082142857,Consortship,0.4,Manual,1
11.133,1086,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,60,2,Y,Object shake,0.473214286,Consortship,3.28,Manual,1
11.133,1088,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,61,4,Y,Jump,0.023214286,Consortship,0.72,Body,2
11.133,1091,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,61,4,Y,Object move,0.082142857,Consortship,0.32,Manual,1
11.133,1089,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,61,4,Y,Object shake,0.473214286,Consortship,1,Manual,1
11.133,1090,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,61,4,Y,Stomp 2-feet object/ground,0.005357143,Consortship,0.4,Manual,1
11.134,1094,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,62,3,Y,Object shake,0.473214286,Consortship,2.08,Manual,1
11.134,1092,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,62,3,Y,Swing,0.039285714,Consortship,1.28,Manual,1
11.134,1093,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,62,3,Y,Swing,0.039285714,Consortship,1.72,Manual,1
11.135,1095,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,63,2,Y,Object shake,0.473214286,Consortship,0.72,Manual,1
11.135,1096,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,63,2,Y,Stomp object/ground,0.042857143,Consortship,0.6,Manual,1
11.135,1099,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,64,6,Y,Hit object/ground,0.082142857,Consortship,1.32,Manual,1
11.135,1102,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,64,6,Y,Jump,0.023214286,Consortship,0.44,Body,2
11.135,1097,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,64,6,Y,Object move,0.082142857,Consortship,0.36,Manual,1
11.135,1098,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,64,6,Y,Object shake,0.473214286,Consortship,1.28,Manual,1
11.135,1100,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,64,6,Y,Object shake,0.473214286,Consortship,1.28,Manual,1
11.135,1101,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,64,6,Y,Object shake,0.473214286,Consortship,2,Manual,1
11.137,1106,Duane,25+,A,1120,Lola,20,A,No,unknown,1.222222222,65,2,Y,Hit object/ground,0.082142857,Consortship,0.32,Manual,1
11.137,1105,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,65,2,Y,Swing,0.039285714,Consortship,0.72,Manual,1
11.137,1107,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,66,1,N,Object move,0.082142857,Consortship,1.68,Manual,1
11.137,1108,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,67,1,N,Object move,0.082142857,Consortship,2.4,Manual,1
11.143,1111,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,69,5,Y,Hit object/ground,0.082142857,Consortship,0.2,Manual,1
11.143,1113,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,69,5,Y,Hit object/ground,0.082142857,Consortship,0.24,Manual,1
11.143,1112,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,69,5,Y,Jump,0.023214286,Consortship,0.68,Body,2
11.143,1112,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,69,5,Y,Jump,0.023214286,Consortship,0.48,Body,2
11.143,1110,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,69,5,Y,Object shake,0.473214286,Consortship,3.8,Manual,1
11.146,1117,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,70,2,Y,Object shake,0.473214286,Consortship,2.16,Manual,1
11.146,1118,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,71,1,N,Object shake,0.473214286,Consortship,2.36,Manual,1
11.146,1119,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,72,1,N,Object shake,0.473214286,Consortship,2.72,Manual,1
11.165,1122,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,73,2,Y,Object shake,0.473214286,Consortship,0.92,Manual,1
