"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"615","100191a","Action_17","Morph_39","HW","Moveclose","Hitobject","HitObject.1","Sonso",0,0.0430728241563055,0.0559502664298401
"616","102184","Action_13","Morph_27","HW","Moveaway","Fling","Fling.1","Sonso",-0.579818495252942,0.00688277087033748,0.0117673179396092
"617","101011","Action_14","Morph_33","HW","Playcontinue","Grab","Grab.5","Sonso",-1.20397280432594,0.0033303730017762,0.0353019538188277
"618","102149","Action_38","Morph_75","HW","Groom","Present","Present.1","Sonso",1.38629436111989,0.0170959147424512,0.0492895204262877
"619","101010b","Action_20","Morph_45","HW","Play","Hitother","HitOther.1","Sonso",0,0.0202042628774423,0.0404085257548845
"620","101009","Action_14","Morph_33","HW","Play","Grab","Grab.5","Sonso",-1.02165124753198,0.0033303730017762,0.0353019538188277
"621","100142","Action_63","Morph_138","HW","Affiliation","Touch","Touch.7","Sonso",0.494696241836107,0.0044404973357016,0.0341918294849023
"622","102235","Action_2","Morph_5","HW","Groom","Bigloudscratch","BigLoudScratch.3","Sonso",0.587786664902119,0.0119893428063943,0.0577264653641208
"623","102234","Action_38","Morph_78","HW","Groom","Present","Present.4","Sonso",0.770108221696074,0.00288632326820604,0.0492895204262877
"624","102246b","Action_42","Morph_89","HW","Position","Push","Push.2","Sonso",-1.02165124753198,0.00355239786856128,0.0466252220248668
"625","102249","Action_38","Morph_76","HW","Groom","Present","Present.2","Sonso",-0.510825623765991,0.0135435168738899,0.0492895204262877
"626","102232","Action_42","Morph_92","HW","Position","Push","Push.5","Sonso",-0.916290731874155,0.0066607460035524,0.0466252220248668
"627","102249","Action_2","Morph_3","HW","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",1.40609698841607,0.0215364120781528,0.0577264653641208
"628","102235","Action_2","Morph_6","HW","Groom","Bigloudscratch","BigLoudScratch.4","Sonso",0.518793793415168,0.00421847246891652,0.0577264653641208
"629","101113","Action_17","Morph_39","HW","Play","Hitobject","HitObject.1","Sonso",-0.385662480811985,0.0430728241563055,0.0559502664298401
"630","101053b","Action_45","Morph_100","HW","Play","Reach","Reach.1","Sonso",-0.127833371509885,0.0408525754884547,0.0801509769094138
"631","101113","Action_20","Morph_50","HW","Play","Hitother","HitOther.6","Sonso",-0.653926467406664,0.00488454706927176,0.0404085257548845
"632","102276a","Action_2","Morph_4","HW","Groom","Bigloudscratch","BigLoudScratch.2","Sonso",0.364643113587909,0.019316163410302,0.0577264653641208
"633","102275","Action_2","Morph_5","HW","Groom","Bigloudscratch","BigLoudScratch.3","Sonso",-0.174353387144778,0.0119893428063943,0.0577264653641208
"634","102276a","Action_38","Morph_75","HW","Groom","Present","Present.1","Sonso",-0.083381608939051,0.0170959147424512,0.0492895204262877
"635","102273","Action_2","Morph_3","HW","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",-0.174353387144778,0.0215364120781528,0.0577264653641208
"636","102281a","Action_2","Morph_3","HW","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",0.444685821261446,0.0215364120781528,0.0577264653641208
"637","102323","Action_48","Morph_104","HW","Playcontinue","Rollover","RollOver.1","Sonso",0.65232518603969,0.00621669626998224,0.00621669626998224
"638","102220a","Action_2","Morph_3","HW","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",0,0.0215364120781528,0.0577264653641208
"639","102220a","Action_38","Morph_75","HW","Groom","Present","Present.1","Sonso",1.3244189574018,0.0170959147424512,0.0492895204262877
"640","101367","Action_63","Morph_135","HY","Stopbehaviour","Touch","Touch.4","Sonso",0.246860077931526,0.00488454706927176,0.0341918294849023
"641","101368a","Action_45","Morph_101","HY","Givemenurse","Reach","Reach.2","Sonso",0.672944473242426,0.0370781527531083,0.0801509769094138
"642","101367","Action_63","Morph_135","HY","Stopbehaviour","Touch","Touch.4","Sonso",-0.579818495252942,0.00488454706927176,0.0341918294849023
"643","101367","Action_14","Morph_33","HY","Stopbehaviour","Grab","Grab.5","Sonso",0.924258901523332,0.0033303730017762,0.0353019538188277
"644","101367","Action_14","Morph_33","HY","Stopbehaviour","Grab","Grab.5","Sonso",0.418710334858185,0.0033303730017762,0.0353019538188277
"645","101873","Action_38","Morph_76","JL","Groom","Present","Present.2","Sonso",-0.916290731874155,0.0135435168738899,0.0492895204262877
"646","100189","Action_64","Morph_133","JL","Stopbehaviour","Touchlongother","Touch.2","Sonso",1.00063188030791,0.00754884547069272,0.0175399644760213
"647","100196","Action_33","Morph_61","JL","Moveaway","Objectmove","ObjectMove.1","Sonso",0.27763173659828,0.0317495559502664,0.0406305506216696
"648","100781","Action_39","Morph_82","JL","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",0.113328685307003,0.0295293072824156,0.033303730017762
"649","101253","Action_39","Morph_82","JL","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-1.6094379124341,0.0295293072824156,0.033303730017762
"650","100340","Action_39","Morph_82","JL","Affiliation","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-0.22314355131421,0.0295293072824156,0.033303730017762
"651","100167","Action_39","Morph_82","JL","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",0.27763173659828,0.0295293072824156,0.033303730017762
"652","100168","Action_63","Morph_132","JL","Sociosexualattention","Touch","Touch.1","Sonso",-0.653926467406664,0.0104351687388988,0.0341918294849023
"653","100343","Action_45","Morph_100","JL","Affiliation","Reach","Reach.1","Sonso",0,0.0408525754884547,0.0801509769094138
