"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"78","100644p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.908258560176891,0.0746003552397869,0.108792184724689
"79","100623","Action_55","Morph_117","DN","Followme","Stompingobject","StompObject.3","Sonso",0.985816794522765,0.00688277087033748,0.0230905861456483
"80","100645p1","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",-0.82098055206983,0.0317495559502664,0.0406305506216696
"81","100648","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.307484699747961,0.0746003552397869,0.108792184724689
"82","100625","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.6094379124341,0.0746003552397869,0.108792184724689
"83","100647","Action_18","Morph_39","DN","Followme","Hitobjectobject","HitObject.1","Sonso",-0.385662480811985,0.0430728241563055,0.00466252220248668
"84","100645p1","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",0,0.0430728241563055,0.0559502664298401
"85","100633","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",-0.510825623765991,0.0317495559502664,0.0406305506216696
"86","100626","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.908258560176891,0.0746003552397869,0.108792184724689
"87","100625","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.52605630349505,0.0746003552397869,0.108792184724689
"88","100623","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.470003629245736,0.0746003552397869,0.108792184724689
"89","100645p2","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",-0.083381608939051,0.0428507992895204,0.0475133214920071
"90","100637p5","Action_57","Morph_118","DN","Followme","Stompobject","StompObject.4","Sonso",-0.7339691750802,0.005550621669627,0.0424067495559503
"91","100641a","Action_22","Morph_43","DN","Followme","Hittingobjectobject","HitObject.5","Sonso",0.518793793415168,0.0044404973357016,0.00266429840142096
"92","100641a","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.12492959698548,0.0746003552397869,0.108792184724689
"93","100654","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.182321556793955,0.0746003552397869,0.108792184724689
"94","100642","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0,0.0746003552397869,0.108792184724689
"95","100645p1","Action_57","Morph_118","DN","Followme","Stompobject","StompObject.4","Sonso",-0.510825623765991,0.005550621669627,0.0424067495559503
"96","100644p1","Action_17","Morph_41","DN","Followme","Hitobject","HitObject.3","Sonso",-0.510825623765991,0.00510657193605684,0.0559502664298401
"97","100642","Action_60","Morph_128","DN","Followme","Swing","Swing.2","Sonso",-0.328504066972036,0.00310834813499112,0.0475133214920071
"98","100624","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.12492959698548,0.0746003552397869,0.108792184724689
"99","100643p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.54329810992956,0.0237566607460036,0.108792184724689
"100","100625","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.87364662870024,0.0746003552397869,0.108792184724689
"101","100636b","Action_49","Morph_105","DN","Sociosexualattention","Rub","Rub.1","Sonso",1.79840401194672,0.0044404973357016,0.0066607460035524
"102","100637p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",2.1701959049483,0.0746003552397869,0.108792184724689
"103","100645p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.908258560176891,0.0746003552397869,0.108792184724689
"104","100626","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.33500106673234,0.0746003552397869,0.108792184724689
"105","100645p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.28093384546206,0.0746003552397869,0.108792184724689
"106","100642","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.924258901523332,0.0746003552397869,0.108792184724689
"107","100647","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",-0.083381608939051,0.0746003552397869,0.108792184724689
"108","100628a","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.542324290825362,0.0746003552397869,0.108792184724689
"109","100645p3","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",-0.7339691750802,0.0237566607460036,0.108792184724689
"110","100628a","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",-0.44628710262842,0.0430728241563055,0.0559502664298401
"111","100629p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.985816794522765,0.0746003552397869,0.108792184724689
"112","100635p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.418710334858185,0.0746003552397869,0.108792184724689
"113","100653a","Action_57","Morph_115","DN","Followme","Stompobject","StompObject.1","Sonso",-0.0408219945202552,0.0337477797513321,0.0424067495559503
"114","100654","Action_24","Morph_51","DN","Followme","Jump","Jump.1","Sonso",-0.328504066972036,0.00732682060390764,0.00732682060390764
"115","100631p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.336472236621213,0.0237566607460036,0.108792184724689
"116","100655","Action_24","Morph_51","DN","Followme","Jump","Jump.1","Sonso",-0.083381608939051,0.00732682060390764,0.00732682060390764
"117","100655","Action_57","Morph_115","DN","Followme","Stompobject","StompObject.1","Sonso",-0.653926467406664,0.0337477797513321,0.0424067495559503
"118","100645p3","Action_57","Morph_115","DN","Followme","Stompobject","StompObject.1","Sonso",-0.653926467406664,0.0337477797513321,0.0424067495559503
"119","100629p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.76473079684014,0.0746003552397869,0.108792184724689
"120","100651","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.13783300182139,0.0746003552397869,0.108792184724689
"121","100647","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",0.364643113587909,0.0317495559502664,0.0406305506216696
"122","100645p3","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",-0.127833371509885,0.0746003552397869,0.108792184724689
"123","100644p2","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.78845736036427,0.0237566607460036,0.108792184724689
"124","100645p3","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",-0.916290731874155,0.0317495559502664,0.0406305506216696
"125","100625","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.587786664902119,0.0746003552397869,0.108792184724689
"126","100634","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",0.0392207131532813,0.0430728241563055,0.0559502664298401
"127","100629p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.83098018238134,0.0746003552397869,0.108792184724689
"128","100635p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.82454929205105,0.0237566607460036,0.108792184724689
"129","100654","Action_17","Morph_40","DN","Followme","Hitobject","HitObject.2","Sonso",-0.916290731874155,0.0119893428063943,0.0559502664298401
"130","100623","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.65232518603969,0.0746003552397869,0.108792184724689
"131","100645p3","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",0.215111379616945,0.0430728241563055,0.0559502664298401
"132","100637p5","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.307484699747961,0.0237566607460036,0.108792184724689
"133","100645p3","Action_24","Morph_51","DN","Followme","Jump","Jump.1","Sonso",-0.44628710262842,0.00732682060390764,0.00732682060390764
"134","100629p2","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.970778917158225,0.0237566607460036,0.108792184724689
"135","100650","Action_34","Morph_69","DN","Followme","Objectshake","ObjectShake.5","Sonso",0.89199803930511,0.0011101243339254,0.108792184724689
"136","100634","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.41585316336144,0.0746003552397869,0.108792184724689
"137","100641a","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.0760346862759976,0.0746003552397869,0.108792184724689
"138","100629p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.08518926833597,0.0746003552397869,0.108792184724689
"139","100642","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.609765571620894,0.0746003552397869,0.108792184724689
"140","100654","Action_24","Morph_51","DN","Followme","Jump","Jump.1","Sonso",-0.328504066972036,0.00732682060390764,0.00732682060390764
"141","100645p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.806475865866949,0.0746003552397869,0.108792184724689
"142","100647","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",-0.385662480811985,0.0317495559502664,0.0406305506216696
"143","100626","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.44456326924387,0.0746003552397869,0.108792184724689
"144","100645p3","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.00063188030791,0.0746003552397869,0.108792184724689
"145","100625","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.18784342239605,0.0237566607460036,0.108792184724689
"146","100643p1","Action_61","Morph_130","DN","Followme","Throwobject","ThrowObject.1","Sonso",-0.653926467406664,0.00244227353463588,0.00244227353463588
"147","100637p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.940007258491471,0.0746003552397869,0.108792184724689
"148","100624","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.49962304642689,0.0746003552397869,0.108792184724689
"149","100648","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.307484699747961,0.0746003552397869,0.108792184724689
"150","100637p5","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.732367893713227,0.0746003552397869,0.108792184724689
"151","100629p2","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.56531380905006,0.0237566607460036,0.108792184724689
"152","100644p1","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",0.0769610411361284,0.0428507992895204,0.0475133214920071
"153","100645p3","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0,0.0746003552397869,0.108792184724689
"154","100644p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.07158361628019,0.0237566607460036,0.108792184724689
"155","100637p5","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",-0.510825623765991,0.0430728241563055,0.0559502664298401
"156","100655","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.23547147138531,0.0746003552397869,0.108792184724689
"157","100628a","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.215111379616945,0.0746003552397869,0.108792184724689
"158","100624","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",0.0392207131532813,0.0430728241563055,0.0559502664298401
"159","100651","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.05779029414785,0.0746003552397869,0.108792184724689
"160","100625","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.75785791755237,0.0237566607460036,0.108792184724689
"161","100643p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.67147330335355,0.0746003552397869,0.108792184724689
"162","100647","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",-0.083381608939051,0.0746003552397869,0.108792184724689
"163","100631p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.17557332980424,0.0237566607460036,0.108792184724689
"164","100637p4","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",2.04898233419513,0.0237566607460036,0.108792184724689
