"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"6200","280012a","Action_43","Morph_96","FOKAIYE","Stopbehaviour","Raise","Raise.1","Bossou",-0.403467105445491,0.0268528464017186,0.0349087003222342
"6201","280012a","Action_43","Morph_96","FOKAIYE","Stopbehaviour","Raise","Raise.1","Bossou",-1.09661428600544,0.0268528464017186,0.0349087003222342
"6202","280478b","Action_45","Morph_100","YOLO","Play","Reach","Reach.1","Bossou",-0.798507696217772,0.0435016111707841,0.0719656283566058
"6203","280389b","Action_4","Morph_10","TUA","Affiliation","Bitekiss","Bite.2","Bossou",-0.75928698306449,0.0128893662728249,0.0306122448979592
"6204","280281a","Action_60","Morph_129","NINA","Affiliation","Swing","Swing.3","Bossou",-0.0171461588349705,0.00214822771213749,0.0370569280343716
"6205","280496","Action_34","Morph_65","NA_chimp","Sexualattention","Objectshake","ObjectShake.1","Bossou",0.0806579030174545,0.00966702470461869,0.014500537056928
"6206","280496","Action_33","Morph_61","NA_chimp","Sexualattention","Objectmove","ObjectMove.1","Bossou",-0.161343150408763,0.0193340494092374,0.0349087003222342
"6207","280496","Action_34","Morph_66","NA_chimp","Sexualattention","Objectshake","ObjectShake.2","Bossou",1.1999647829284,0.00322234156820623,0.014500537056928
"6208","280395a","Action_39","Morph_82","JIRE","Support","Presentgenitalsbackwards","PresentGenitals.1","Bossou",-0.00300450902029872,0.0354457572502685,0.0290010741138561
"6209","280145b","Action_45","Morph_100","JEJE","Playcontinue","Reach","Reach.1","Bossou",-0.444725822061467,0.0435016111707841,0.0719656283566058
"6210","280145b","Action_14","Morph_30","JEJE","Playcontinue","Grab","Grab.2","Bossou",-0.140412153716745,0.00429645542427497,0.023093447905478
"6211","280145b","Action_63","Morph_134","JEJE","Playcontinue","Touch","Touch.3","Bossou",-0.519193873436507,0.00698174006444683,0.0429645542427497
"6212","280069","Action_42","Morph_93","JIRE","Position","Push","Push.6","Bossou",-1.69826912614072,0.00805585392051558,0.0596133190118153
"6213","280507","Action_45","Morph_100","FANA","Affiliation","Reach","Reach.1","Bossou",0.263133199530368,0.0435016111707841,0.0719656283566058
"6214","280507","Action_15","Morph_36","FANA","Affiliation","Grabhold","GrabHold.2","Bossou",0.819339205797705,0.00161117078410311,0.0037593984962406
"6215","280102b","Action_3","Morph_15","TUA","Affiliation","Bite","Bite.7","Bossou",0.43567095016523,0.0037593984962406,0.00644468313641246
"6216","280102b","Action_3","Morph_15","TUA","Affiliation","Bite","Bite.7","Bossou",-0.802962046567152,0.0037593984962406,0.00644468313641246
"6217","280102b","Action_3","Morph_15","TUA","Affiliation","Bite","Bite.7","Bossou",-0.986176859338322,0.0037593984962406,0.00644468313641246
"6218","280102b","Action_3","Morph_15","TUA","Affiliation","Bite","Bite.7","Bossou",-0.683196849706777,0.0037593984962406,0.00644468313641246
"6219","280102b","Action_4","Morph_10","TUA","Affiliation","Bitekiss","Bite.2","Bossou",1.04168914126849,0.0128893662728249,0.0306122448979592
"6220","280413","Action_38","Morph_80","PAMA","Directattention","Present","Present.6","Bossou",-0.462035459596559,0.00322234156820623,0.0596133190118153
"6221","280030a","Action_33","Morph_61","PELEY","Play","Objectmove","ObjectMove.1","Bossou",0.0344014267173323,0.0193340494092374,0.0349087003222342
"6222","280030a","Action_43","Morph_96","PELEY","Play","Raise","Raise.1","Bossou",-0.627359440021942,0.0268528464017186,0.0349087003222342
"6223","280030a","Action_14","Morph_31","PELEY","Play","Grab","Grab.3","Bossou",-1.20397280432594,0.00805585392051558,0.023093447905478
"6224","280030a","Action_28","Morph_56","PELEY","Play","Locomotebipedal","LocomoteBipedal.1","Bossou",-0.404965233066513,0.0112781954887218,0.0155746509129968
