,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,Duration,Category,n,P,logduration
198,BudongoBF 2012-11-25 Clip 38 11;32;19 KT KA,85,Kato,Katia,382,3,Big Loud Scratch,2.84,Manual,13,0.044067797,1.043804052
199,BudongoBF 2012-12-18 Clip 5 09;40;25 KT RH Consortship,61,Kato,Ruhara,387,1,Leaf clipping,6.04,Manual,35,0.118644068,1.798404012
200,BudongoBF 2012-12-18 Clip 5 09;40;25 KT RH Consortship,61,Kato,Ruhara,388,1,Leaf clipping,4,Manual,35,0.118644068,1.386294361
201,BudongoBF 2012-12-18 Clip 6 09;45;21 KT RH Consortship,61,Kato,Ruhara,395,1,Leaf clipping,3.2,Manual,35,0.118644068,1.16315081
202,BudongoBF 2012-12-18 Clip 7 09;46;05 KT RH consortship (FK) (PS barks),61,Kato,Ruhara,398,1,Leaf clipping,2.84,Manual,35,0.118644068,1.043804052
203,BudongoBF 2012-12-18 Clip 7 09;46;05 KT RH consortship (FK) (PS barks),61,Kato,Ruhara,399,1,Hit object/ground,0.48,Manual,46,0.155932203,-0.733969175
204,BudongoBF 2012-12-18 Clip 7 09;46;05 KT RH consortship (FK) (PS barks),61,Kato,Ruhara,400,3,Big Loud Scratch,3.16,Manual,13,0.044067797,1.150572028
205,BudongoBF 2012-12-18 Clip 7 09;46;05 KT RH consortship (FK) (PS barks),61,Kato,Ruhara,400,3,Leaf clipping,5.28,Manual,35,0.118644068,1.663926098
206,BudongoBF 2012-12-18 Clip 7 09;46;05 KT RH consortship (FK) (PS barks),61,Kato,Ruhara,400,3,Leaf clipping,2.88,Manual,35,0.118644068,1.057790294
207,BudongoBF 2012-12-18 Clip 10 09;52;35 MS RH copulate KT RH Consortship ,62,Musa,Ruhara,402,2,Present: genitals forwards,0.52,Body,26,0.088135593,-0.653926467
208,BudongoBF 2013-01-10 Clip 63 15;20;59 KT KY KX,88,Kato,Kewaya,404,2,Stomp object/ground,0.48,Manual,24,0.081355932,-0.733969175
209,BudongoBF 2013-01-15 Clip 1 08;30;40 NK JN JM,1,Nick,Janie,405,1,Stomp object/ground,0.32,Manual,24,0.081355932,-1.139434283
210,BudongoBF 2013-01-15 Clip 1 08;30;40 NK JN JM,1,Nick,Janie,406,1,Stomp object/ground,0.2,Manual,24,0.081355932,-1.609437912
211,BudongoBF 2013-01-15 Clip 1 08;30;40 NK JN JM,1,Nick,Janie,407,2,Hit object/ground,0.76,Manual,46,0.155932203,-0.274436846
212,BudongoBF 2013-01-15 Clip 1 08;30;40 NK JN JM,1,Nick,Janie,407,2,Stomp object/ground,0.24,Manual,24,0.081355932,-1.427116356
213,BudongoBF 2013-01-15 Clip 5 08;36;36 SM AN,4,Simon,Anna,409,1,Present: genitals forwards,1,Body,26,0.088135593,0
214,BudongoBF 2013-01-15 Clip 8 08;50;44 ZD AN,6,Zed,Anna,410,1,Big Loud Scratch,1.36,Manual,13,0.044067797,0.3074847
215,BudongoBF 2013-01-15 Clip 8 08;50;44 ZD AN,6,Zed,Anna,411,1,Present: genitals forwards,1.04,Body,26,0.088135593,0.039220713
216,BudongoBF 2013-01-15 Clip 14 09;08;53 KZ OK,10,Kwezi,Oakland,412,2,Present: genitals forwards,0.84,Body,26,0.088135593,-0.174353387
217,BudongoBF 2013-01-15 Clip 15 09;39;50 FK OK (RH NK),11,Frank,Oakland,413,1,Big Loud Scratch,1.16,Manual,13,0.044067797,0.148420005
218,BudongoBF 2013-01-15 Clip 15 09;39;50 FK OK (RH NK),11,Frank,Oakland,415,1,Present: genitals forwards,1.04,Body,26,0.088135593,0.039220713
219,BudongoBF 2013-01-15 Clip 15 09;39;50 FK OK (RH NK),11,Frank,Oakland,416,2,Big Loud Scratch,1.84,Manual,13,0.044067797,0.609765572
220,BudongoBF 2013-01-15 Clip 29 13;54;04 ZL JN (NB),16,Zalu,Janie,418,1,Present: genitals forwards,1.24,Body,26,0.088135593,0.21511138
221,BudongoBF 2013-01-15 Clip 29 13;54;04 ZL JN (NB),16,Zalu,Janie,419,1,Present: genitals forwards,1.44,Body,26,0.088135593,0.364643114
222,BudongoBF 2013-01-15 Clip 29 13;54;04 ZL JN (NB),16,Zalu,Janie,420,2,Hit object/ground,0.44,Manual,46,0.155932203,-0.820980552
223,BudongoBF 2013-03-04 Clip 15 08;46;54 KT HT consortship (KU),76,Kato,Harriet,440,1,Leaf clipping,7.08,Manual,35,0.118644068,1.957273908
224,BudongoBF 2013-03-04 Clip 15 08;46;54 KT HT consortship (KU),76,Kato,Harriet,441,1,Leaf clipping,7.48,Manual,35,0.118644068,2.012232792
225,BudongoBF 2013-03-04 Clip 15 08;46;54 KT HT consortship (KU),76,Kato,Harriet,444,2,Leaf clipping,8.52,Manual,35,0.118644068,2.142416341
226,BudongoBF 2013-03-04 Clip 15 08;46;54 KT HT consortship (KU),76,Kato,Harriet,444,2,Leaf clipping,4.36,Manual,35,0.118644068,1.472472057
