,Sequence_ID,PWB,Ndata,Sequence.Size,Size,T,t,Signaller,logduration
92,124,0,1,1,1,2.2,2.2,Duane,0.78845736
93,125,0,1,1,1,0.44,0.44,Duane,-0.820980552
94,126,0,6,6,6,9.12,1.52,Duane,0.418710335
95,127,0,1,1,1,2.04,2.04,Duane,0.712949808
96,129,0,2,2,2,2.4,1.2,Duane,0.182321557
97,130,0,2,2,2,5.64,2.82,Duane,1.036736885
98,131,0,2,2,2,1.8,0.9,Duane,-0.105360516
99,132,0,2,2,2,2.6,1.3,Duane,0.262364264
100,136,0,1,1,1,2.88,2.88,Duane,1.057790294
101,137,0,1,1,1,2.12,2.12,Duane,0.751416089
102,138,0,2,2,2,7.2,3.6,Duane,1.280933845
103,139,0,1,1,1,2.2,2.2,Duane,0.78845736
104,140,0,2,2,2,5.76,2.88,Duane,1.057790294
105,141,0,1,1,1,5.04,5.04,Duane,1.617406082
106,142,0,1,1,1,10.28,10.28,Duane,2.33020026
107,143,0,2,2,2,8.32,4.16,Duane,1.425515074
108,144,0,1,1,1,3.48,3.48,Duane,1.247032294
109,146,0,1,1,1,9.2,9.2,Duane,2.219203484
110,147,0,1,1,1,15.04,15.04,Duane,2.710713319
111,148,0,1,1,1,6.08,6.08,Duane,1.805004696
112,149,0,1,1,1,8.56,8.56,Duane,2.14710019
113,152,0.2,5,5,5,4.8,0.96,Duane,-0.040821995
114,166,0,1,1,1,1,1,Duane,0
115,169,0,1,1,1,4.52,4.52,Duane,1.508511994
116,170,0,3,3,3,5.24,1.746666667,Duane,0.55770921
117,171,0,1,1,1,1.48,1.48,Duane,0.392042088
118,172,0,1,1,1,1.36,1.36,Duane,0.3074847
119,173,0,1,1,1,7.28,7.28,Duane,1.985130862
120,174,0,1,1,1,2.4,2.4,Duane,0.875468737
121,177,0,2,2,2,1.64,0.82,Duane,-0.198450939
122,178,0,1,1,1,0.72,0.72,Duane,-0.328504067
123,179,0,1,1,1,0.44,0.44,Duane,-0.820980552
124,180,0,4,4,4,8.04,2.01,Duane,0.698134722
125,181,0,1,1,1,0.8,0.8,Duane,-0.223143551
126,182,0,2,2,2,0.92,0.46,Duane,-0.776528789
127,183,0,1,1,1,1,1,Duane,0
128,185,0,1,1,1,2.76,2.76,Duane,1.01523068
129,186,0,5,5,5,7.44,1.488,Duane,0.397432936
130,187,0,1,1,1,3.44,3.44,Duane,1.235471471
131,188,0,1,1,1,2.84,2.84,Duane,1.043804052
132,189,0,2,2,2,2.28,1.14,Duane,0.131028262
133,190,0,1,1,1,4.6,4.6,Duane,1.526056303
134,193,0,1,1,1,3,3,Duane,1.098612289
135,194,0,1,1,1,5.08,5.08,Duane,1.625311262
136,195,0,1,1,1,2.24,2.24,Duane,0.806475866
137,196,0,2,2,2,4.36,2.18,Duane,0.779324877
138,197,0,1,1,1,0.64,0.64,Duane,-0.446287103
139,198,0,1,1,1,0.6,0.6,Duane,-0.510825624
140,199,0,1,1,1,2.2,2.2,Duane,0.78845736
141,200,0,2,2,2,6.8,3.4,Duane,1.223775432
142,201,0,3,3,3,4.4,1.466666667,Duane,0.382992252
143,202,0,1,1,1,0.52,0.52,Duane,-0.653926467
144,203,0,1,1,1,1.28,1.28,Duane,0.246860078
145,204,0,1,1,1,1.44,1.44,Duane,0.364643114
146,205,0,1,1,1,8,8,Duane,2.079441542
147,206,0,1,1,1,1.76,1.76,Duane,0.565313809
148,207,0.333333333,3,3,3,8,2.666666667,Duane,0.980829253
149,208,0,3,3,3,4.76,1.586666667,Duane,0.46163538
150,209,0,1,1,1,0.56,0.56,Duane,-0.579818495
151,210,0,2,2,2,6.92,3.46,Duane,1.241268589
152,211,0,1,1,1,1.44,1.44,Duane,0.364643114
153,212,0,5,5,5,6.84,1.368,Duane,0.313349819
154,213,0,2,2,2,1.88,0.94,Duane,-0.061875404
155,214,0,1,1,1,0.64,0.64,Duane,-0.446287103
156,216,0,1,1,1,0.76,0.76,Duane,-0.274436846
157,217,0,1,1,1,2.68,2.68,Duane,0.985816795
158,218,0,1,1,1,1.56,1.56,Duane,0.444685821
159,219,0,1,1,1,3.64,3.64,Duane,1.291983682
160,220,0,2,2,2,4.36,2.18,Duane,0.779324877
161,221,0,3,3,3,5.2,1.733333333,Duane,0.550046337
162,222,0,1,1,1,3.44,3.44,Duane,1.235471471
163,223,0,1,1,1,5.52,5.52,Duane,1.70837786
164,224,0,1,1,1,4.72,4.72,Duane,1.5518088
165,225,0,1,1,1,3.96,3.96,Duane,1.376244025
166,226,0,1,1,1,0.76,0.76,Duane,-0.274436846
167,228,0,1,1,1,5.48,5.48,Duane,1.701105101
168,229,0,1,1,1,3.52,3.52,Duane,1.25846099
169,230,0,2,2,2,5.72,2.86,Duane,1.050821625
170,231,0,1,1,1,1.04,1.04,Duane,0.039220713
171,232,0,1,1,1,5.52,5.52,Duane,1.70837786
172,234,0,1,1,1,6.52,6.52,Musa,1.874874376
173,235,0,2,2,2,2.28,1.14,Kwezi,0.131028262
174,236,0,3,3,3,3.68,1.226666667,Kwezi,0.204300464
175,237,0,1,1,1,4.52,4.52,Zalu,1.508511994
176,239,0,1,1,1,7.28,7.28,Zig,1.985130862
177,240,0,1,1,1,4,4,Pascal,1.386294361
